"Participant ID",I think I would like to use this system frequently.,I found this simulation to be unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use the simulation.,I found the various functions in the simulation were well integrated.,I thought there was too much inconsistency in this simulation.,I imagine that most people would learn to use this system very quickly.,I found the system very awkward to use.,I felt very confident using the system.,I needed to learn a lot of things before I could get going with this simulation.
U0667,1,1,5,1,3,1,4,3,4,1
83U14,2,3,3,5,4,4,3,4,2,3
LEYWK,3,1,5,1,4,1,3,1,4,1
7H5IH,4,1,5,2,5,2,3,3,2,3
UET9E,3,2,4,1,4,1,5,2,2,1
2UXUJ,1,3,4,1,4,2,4,2,4,1
ERGPL,3,2,5,1,4,2,5,2,4,1
DXUBI,4,1,4,2,3,1,3,4,3,1
8BM2Y,5,1,5,1,5,1,5,1,5,1
FXV3D,5,1,5,1,5,1,5,1,5,1
HQEDB,3,2,3,1,5,1,3,2,3,2
8O8VB,5,1,5,4,5,1,4,4,4,1
CHWKI,4,1,5,1,5,2,5,2,4,3
0P9C0,3,2,1,1,4,1,5,1,4,1
T6MS9,3,2,4,2,4,2,4,2,4,2
2628E,3,1,4,2,3,2,3,1,4,1
AQQPS,5,2,5,1,4,3,5,1,5,1
3736C,2,3,4,1,4,2,5,2,3,1
XB4P5,3,1,5,1,4,2,5,2,4,1
0YJK3,3,1,4,1,4,1,2,1,4,1
PSSK3,5,1,4,1,4,3,5,2,5,1
QM19L,5,1,5,2,5,1,5,1,5,2
WLWQR,3,1,5,1,4,1,5,1,5,1
PJ9ZH,4,2,5,3,4,2,4,2,4,1
KVYRQ,4,1,5,2,2,2,5,1,5,1
2KVXD,5,2,5,2,5,2,5,2,5,2
RAE2N,5,2,5,1,5,1,5,1,5,1
NN4EB,4,1,4,2,5,1,5,1,5,1
U0Q9S,5,1,5,1,5,1,5,1,5,1
ZHF7X,5,1,5,1,4,2,5,1,5,1
N6L3T,5,1,4,1,4,1,5,2,5,1
CXTJX,4,2,4,3,4,2,4,1,3,1
NS9D9,3,2,2,4,3,2,3,4,3,1
DY7B2,4,1,4,1,4,1,5,1,4,1
GA4G5,5,1,5,1,4,1,5,1,5,1
