"Participant ID",TreatmentPeopleProximity,TreatmentNoiseLevel,TreatmentDelay,TreatmentIsolation,TreatmentAnxiety,TreatmentRealLifeLikelihood
U0667,4,3,1,1,1,1
83U14,3,4,2,3,4,4
LEYWK,3,3,1,1,1,1
7H5IH,5,2,1,1,2,3
UET9E,4,3,2,1,3,1
2UXUJ,3,3,1,1,1,2
ERGPL,2,3,1,1,1,4
DXUBI,3,2,1,1,2,2
8BM2Y,1,1,1,1,1,1
FXV3D,2,3,1,1,1,5
HQEDB,2,3,1,1,1,2
8O8VB,2,3,1,1,1,2
CHWKI,4,2,1,1,1,4
0P9C0,3,3,1,3,1,2
T6MS9,3,2,1,1,1,4
2628E,4,1,1,1,1,2
AQQPS,2,3,1,1,1,2
3736C,3,3,2,2,3,2
XB4P5,2,2,1,2,3,2
0YJK3,3,3,2,1,1,2
PSSK3,3,2,1,1,1,2
QM19L,3,2,2,2,1,2
WLWQR,3,3,2,1,2,1
PJ9ZH,3,2,1,2,1,3
KVYRQ,3,3,1,4,1,1
2KVXD,3,3,5,5,5,5
RAE2N,2,3,1,1,1,2
NN4EB,3,2,3,1,1,3
U0Q9S,3,3,1,1,1,3
N6L3T,3,2,1,2,2,2
CXTJX,2,3,1,1,2,2
NS9D9,4,3,1,1,1,3
DY7B2,3,3,1,1,1,3
GA4G5,3,3,1,1,1,1
ZHF7X,3,2,1,1,1,2
