Participant ID,TreatmentPeopleProximity,TreatmentNoiseLevel,TreatmentDelay,TreatmentIsolation,TreatmentAnxiety,TreatmentRealLifeLikelihood
U0667,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Likely
83U14,Somewhat far,Very loud,Very High,Very High,Very High,Unlikely
LEYWK,Neither,Somewhat loud,Somewhat Low,Very Low,Very Low,Likely
7H5IH,Somewhat far,Somewhat quiet,Neither,Very Low,Neither,Likely
UET9E,Somewhat far,Somewhat loud,Somewhat High,Very High,Somewhat High,Very Likely
2UXUJ,Neither,Neither,Very Low,Very Low,Very Low,Very Likely
ERGPL,Somewhat close,Neither,Very Low,Very Low,Somewhat Low,Unlikely
DXUBI,Neither,Neither,Somewhat Low,Somewhat Low,Somewhat Low,Unlikely
8BM2Y,Neither,Somewhat quiet,Somewhat Low,Very Low,Very Low,Neither
FXV3D,Somewhat close,Neither,Very Low,Very Low,Very Low,Very Unlikely
HQEDB,Somewhat close,Neither,Very Low,Very Low,Very Low,Unlikely
8O8VB,Somewhat far,Somewhat loud,Neither,Somewhat Low,Very Low,Very Unlikely
CHWKI,Somewhat far,Somewhat quiet,Somewhat Low,Neither,Somewhat High,Unlikely
0P9C0,Somewhat far,Neither,Very High,Neither,Very Low,Very Unlikely
T6MS9,Neither,Somewhat quiet,Somewhat High,Neither,Somewhat Low,Unlikely
2628E,Somewhat far,Neither,Very Low,Somewhat Low,Very Low,Very Likely
AQQPS,Neither,Somewhat loud,Somewhat High,Somewhat High,Very Low,Unlikely
3736C,Somewhat close,Neither,Somewhat Low,Somewhat Low,Somewhat Low,Likely
XB4P5,Somewhat close,Somewhat quiet,Very Low,Neither,Neither,Likely
0YJK3,Neither,Neither,Very High,Very Low,Very Low,Neither
PSSK3,Somewhat far,Somewhat quiet,Somewhat Low,Very Low,Very Low,Neither
QM19L,Neither,Somewhat quiet,Somewhat High,Neither,Neither,Neither
WLWQR,Somewhat far,Somewhat loud,Neither,Very Low,Somewhat Low,Very Likely
PJ9ZH,Neither,Somewhat quiet,Very High,Very High,Very High,Unlikely
KVYRQ,Neither,Neither,Somewhat High,Somewhat High,Very Low,Very Likely
2KVXD,Neither,Neither,Very High,Very High,Very High,Very Unlikely
RAE2N,Somewhat far,Somewhat quiet,Neither,Very Low,Somewhat Low,Likely
NN4EB,Neither,Somewhat quiet,Somewhat High,Somewhat Low,Very Low,Unlikely
U0Q9S,Neither,Neither,Very Low,Very Low,Very Low,Neither
N6L3T,Neither,Somewhat loud,Somewhat Low,Somewhat Low,Somewhat Low,Likely
CXTJX,Neither,Neither,Somewhat Low,Somewhat Low,Somewhat Low,Very Likely
NS9D9,Somewhat far,Somewhat loud,Very High,Very High,Very High,Very Unlikely
DY7B2,Neither,Somewhat quiet,Neither,Neither,Very Low,Likely
GA4G5,Neither,Very loud,Somewhat Low,Very Low,Very Low,Likely
ZHF7X,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Likely
